establishment_name|company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|filter_list_company_name|stripped_company_name
CBRE-L2-311 South Wacker Drive|CBRE Inc|IL|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-L2-26 Thomson Place|CBRE Inc|MA|1|1|6|13171|952743174|'CBRE'|cbre
CBRE-L2-795 Office Parkway|CBRE Inc|MO|1|1|3|6239|952743174|'CBRE'|cbre
CBRE-L2-40 Fountain Place|CBRE Inc|NY|1|1|1|2253|952743174|'CBRE'|cbre
CBRE-L2-28 Liberty Street|CBRE Inc|NY|1|1|7|14904|952743174|'CBRE'|cbre
CBRE-L2-580 Kingsley Park|CBRE Inc|SC|1|1|2|4159|952743174|'CBRE'|cbre
CBRE - Loxo Oncology Inc|CBRE Inc|NY|1|1|7|15424|952743174|'CBRE'|cbre
CBRE - LPL Financial|CBRE Inc|SC|1|21|24|49564|952743174|'CBRE'|cbre
CBRE-Lubrizol|CBRE Inc|OH|1|21|24|20623|952743174|'CBRE'|cbre
CBRE - Lumentum|CBRE Inc|CA|1|1|17|34313|952743174|'CBRE'|cbre
CBRE - LyondellBassell|CBRE Inc|TX|1|1|5|9705|952743174|'CBRE'|cbre
CBRE-M1-Two Embarcadero Center|CBRE Inc|CA|1|1|1|867|952743174|'CBRE'|cbre
CBRE-M1-125 West 55th Street|CBRE Inc|NY|1|1|14|29288|952743174|'CBRE'|cbre
CBRE-M1-1301 Riverplace Boulevard|CBRE Inc|FL|1|1|2|4159|952743174|'CBRE'|cbre
CBRE-M1-One Allen Center|CBRE Inc|TX|1|1|4|8492|952743174|'CBRE'|cbre
CBRE - Maersk|CBRE Inc|NC|1|1|10|20449|952743174|'CBRE'|cbre
CBRE-DCM4-201 Main Avenue|CBRE Inc|NJ|1|1|3|2600|952743174|'CBRE'|cbre
CBRE - Manpower|CBRE Inc|WI|1|1|7|14557|952743174|'CBRE'|cbre
CBRE - Marathon|CBRE Inc|OH|1|1|17|35353|952743174|'CBRE'|cbre
CBRE - M14 -  6565 East County Road 1000|CBRE Inc|IL|1|1|1|867|952743174|'CBRE'|cbre
CBRE - M14 - 100 Mars Blvd|CBRE Inc|KS|1|1|3|4159|952743174|'CBRE'|cbre
CBRE - M14 - 10000 Roberts Blvd|CBRE Inc|AR|1|1|10|10225|952743174|'CBRE'|cbre
CBRE - M14 - 1055 West Highway 34|CBRE Inc|NE|1|1|2|2080|952743174|'CBRE'|cbre
CBRE - M14 - 1098 N. Broadway Street|CBRE Inc|MS|1|1|2|2253|952743174|'CBRE'|cbre
CBRE - M14 - 1209 West Oakridge Drive|CBRE Inc|GA|1|1|2|2080|952743174|'CBRE'|cbre
CBRE - M14 - 13243 Nutro Way|CBRE Inc|CA|1|1|1|1386|952743174|'CBRE'|cbre
CBRE - M14 - 15W660 79th Street|CBRE Inc|IL|1|1|3|2773|952743174|'CBRE'|cbre
CBRE - M14 - 1700 Bridge School Road|CBRE Inc|MO|1|1|2|2080|952743174|'CBRE'|cbre
CBRE - M14 - 1720 Pineview Road|CBRE Inc|SC|1|1|2|2253|952743174|'CBRE'|cbre
CBRE - M14 - 2 Cactus Garden Drive|CBRE Inc|NV|1|1|1|1040|952743174|'CBRE'|cbre
CBRE - M14 - 2779 Rademakers Way|CBRE Inc|NE|1|1|3|3293|952743174|'CBRE'|cbre
CBRE - M14 - 2800 North Route 47|CBRE Inc|IL|1|1|1|1040|952743174|'CBRE'|cbre
CBRE - M14 - 2902 Bernard Way|CBRE Inc|AR|1|1|1|520|952743174|'CBRE'|cbre
CBRE - M14 - 295 Brown Street|CBRE Inc|PA|1|1|5|5026|952743174|'CBRE'|cbre
CBRE - M14 - 3002 Jersey Pike|CBRE Inc|TN|1|1|1|1040|952743174|'CBRE'|cbre
CBRE - M14 - 3500 Peerless Road. NW|CBRE Inc|TN|1|1|1|1040|952743174|'CBRE'|cbre
CBRE - M14 - 3700 State Route 65|CBRE Inc|OH|1|1|2|2080|952743174|'CBRE'|cbre
CBRE - M14 - 4500 Atlanta Highway|CBRE Inc|GA|1|1|2|1906|952743174|'CBRE'|cbre
CBRE - M14 - 500 Waltham Way|CBRE Inc|NV|1|1|1|1213|952743174|'CBRE'|cbre
CBRE - M14 - 5115 Fisher Road|CBRE Inc|OH|1|1|5|5546|952743174|'CBRE'|cbre
CBRE - M14 - 6574 State Route 503|CBRE Inc|OH|1|1|2|2080|952743174|'CBRE'|cbre
CBRE - M14 - 700 High Street|CBRE Inc|NJ|1|1|13|25648|952743174|'CBRE'|cbre
CBRE - M14 - 800 High Street|CBRE Inc|NJ|1|1|8|10225|952743174|'CBRE'|cbre
CBRE - M14 - 845 Commerce Drive|CBRE Inc|NC|1|1|2|2080|952743174|'CBRE'|cbre
CBRE - M14 - 920 Arctic Dr|CBRE Inc|TN|1|1|2|2080|952743174|'CBRE'|cbre
CBRE-DCM1-1600 Solana Blvd|CBRE Inc|TX|1|1|9|18890|952743174|'CBRE'|cbre
CBRE-M3-20 Patriot Place|CBRE Inc|MA|1|1|8|15944|952743174|'CBRE'|cbre
CBRE-M3-399 Revolution Drive|CBRE Inc|MA|1|1|13|27035|952743174|'CBRE'|cbre
CBRE-M3-850 Boylston Street|CBRE Inc|MA|1|1|8|16637|952743174|'CBRE'|cbre
CBRE-McDonalds|CBRE Inc|IL|1|1|2|347|952743174|'CBRE'|cbre
CBRE - McGraw Hill Education|CBRE Inc|OH|1|1|16|32234|952743174|'CBRE'|cbre
CBRE-M5-17360 Brookhurst Street|CBRE Inc|CA|1|21|24|49044|952743174|'CBRE'|cbre
CBRE-M5-Remote-17360 Brookhurst Street|CBRE Inc|CA|1|1|2|3466|952743174|'CBRE'|cbre
CBRE-M6-351 Sumneytown Pike|CBRE Inc|PA|1|1|12|24955|952743174|'CBRE'|cbre
CBRE-M6-770 Sumneytown Pke|CBRE Inc|PA|1|3|264|549534|952743174|'CBRE'|cbre
CBRE-M7-1 Hacker Way|CBRE Inc|CA|1|22|177|367396|952743174|'CBRE'|cbre
CBRE-M7-1180 Discovery Way|CBRE Inc|CA|1|1|17|34313|952743174|'CBRE'|cbre
CBRE-M7-250 Howard Street|CBRE Inc|CA|1|1|11|23222|952743174|'CBRE'|cbre
CBRE-M7-322 Airport Blvd|CBRE Inc|CA|1|21|26|53203|952743174|'CBRE'|cbre
CBRE-M7-6700 Dumbarton Circle|CBRE Inc|CA|1|21|57|118537|952743174|'CBRE'|cbre
CBRE-M7-7300 Gateway Blvd|CBRE Inc|CA|1|1|4|8838|952743174|'CBRE'|cbre
CBRE-DCM2-100 Share Way NW|CBRE Inc|IA|1|1|15|31454|952743174|'CBRE'|cbre
CBRE-DCM2-21625 Gresham Drive|CBRE Inc|VA|1|1|4|7279|952743174|'CBRE'|cbre
CBRE-DCM2-2905 Diehl Road|CBRE Inc|IL|1|1|2|4852|952743174|'CBRE'|cbre
CBRE-DCM2-2705 S Ellis Street|CBRE Inc|AZ|1|1|3|5199|952743174|'CBRE'|cbre
CBRE-DCM2-300 SW Connect Way|CBRE Inc|OR|1|1|14|28075|952743174|'CBRE'|cbre
CBRE-DCM2-2050 Metaverse Way|CBRE Inc|IL|1|1|16|33620|952743174|'CBRE'|cbre
CBRE-DCM2-408 Social Circle|CBRE Inc|NC|1|1|17|35700|952743174|'CBRE'|cbre
CBRE-DCM2-4500 Like Way|CBRE Inc|TX|1|21|22|46444|952743174|'CBRE'|cbre
CBRE-DCM2-44508 Pacific Commons Blvd|CBRE Inc|CA|1|1|1|1906|952743174|'CBRE'|cbre
CBRE-DCM2-1813 Lookout Drive|CBRE Inc|TX|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-DCM2-4755 NE Huffman Street|CBRE Inc|OR|1|1|5|11091|952743174|'CBRE'|cbre
CBRE-DCM2-11003 Corporate Centre Drive|CBRE Inc|TX|1|1|2|4159|952743174|'CBRE'|cbre
CBRE-DCM2-1800 NW 128th Street|CBRE Inc|MO|1|1|8|15424|952743174|'CBRE'|cbre
CBRE-DCM2-21955 Loudoun County Parkway|CBRE Inc|VA|1|1|10|20796|952743174|'CBRE'|cbre
CBRE-DCM2-3841 S Ellsworth Road|CBRE Inc|AZ|1|1|10|19930|952743174|'CBRE'|cbre
CBRE-DCM2-1 Community Circle|CBRE Inc|OH|1|1|16|33967|952743174|'CBRE'|cbre
CBRE-DCM2-1100 Share Way|CBRE Inc|IA|1|1|15|31454|952743174|'CBRE'|cbre
CBRE-DCM2-735 SW Connect Way|CBRE Inc|OR|1|21|22|45925|952743174|'CBRE'|cbre
CBRE-DCM2-6200 Technology Blvd|CBRE Inc|VA|1|1|19|38473|952743174|'CBRE'|cbre
CBRE-DCM2-3011 Lafayette Street|CBRE Inc|CA|1|1|3|5199|952743174|'CBRE'|cbre
CBRE-DCM2-14734 Friend Plaza|CBRE Inc|NE|1|21|26|53550|952743174|'CBRE'|cbre
CBRE-DCM2-13180 Silicon Prairie Plaza|CBRE Inc|NE|1|1|1|2080|952743174|'CBRE'|cbre
CBRE - MGIC|CBRE Inc|WI|1|1|9|18197|952743174|'CBRE'|cbre
CBRE-M8-TX297-Data Center-2121 N Pearl St|CBRE Inc|TX|1|1|3|520|952743174|'CBRE'|cbre
CBRE-M8-WA029-Remote-5020 148th Avenue NE|CBRE Inc|WA|1|1|7|13171|952743174|'CBRE'|cbre
CBRE-M8-AR026-Data Center-2500 Technology Circle|CBRE Inc|AR|1|1|2|4159|952743174|'CBRE'|cbre
CBRE-M8-AZ016-NorAm Campus-1620 W Fountain Head Parkway|CBRE Inc|AZ|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-AZ1044-Data Center-12900 W Thunderbird Rd|CBRE Inc|AZ|1|1|1|1560|952743174|'CBRE'|cbre
CBRE-M8-AZ1126-Data Center-14250 W Broadway Road|CBRE Inc|AZ|1|1|10|20276|952743174|'CBRE'|cbre
CBRE-M8-AZ231-Data Center-2575 East Camelback Road|CBRE Inc|AZ|1|1|2|3639|952743174|'CBRE'|cbre
CBRE-M8-CA008-Data Center-1200 Third Ave|CBRE Inc|CA|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-CA042-Data Center-1840 Century Pk East|CBRE Inc|CA|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-CA1015-Data Center-1407 J Street|CBRE Inc|CA|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-CA1362-Data Center-2850 Ocean Park Boulevard|CBRE Inc|CA|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-CA1954-NorAm Campus-1045 La Avenida|CBRE Inc|CA|1|21|25|50950|952743174|'CBRE'|cbre
CBRE-M8-CA518-NorAm Campus-555 California Avenue|CBRE Inc|CA|1|1|2|4333|952743174|'CBRE'|cbre
CBRE-M8-CA605-NorAm Campus-85 Enterprise|CBRE Inc|CA|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-CA606-Data Center-2045 Lafayette St.|CBRE Inc|CA|1|1|7|14211|952743174|'CBRE'|cbre
CBRE-M8-CA608-Data Center-3 Park Plaza|CBRE Inc|CA|1|1|2|3119|952743174|'CBRE'|cbre
CBRE-M8-CA614-NorAm Campus-835 Market St.|CBRE Inc|CA|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-CA641-Data Center-13031 W Jefferson Blvd|CBRE Inc|CA|1|1|1|2600|952743174|'CBRE'|cbre
CBRE-M8-CA707-NorAm Campus-1355 Market St|CBRE Inc|CA|1|1|3|6066|952743174|'CBRE'|cbre
CBRE-M8-CO020-Data Center-1225 17th Street|CBRE Inc|CO|1|1|1|2253|952743174|'CBRE'|cbre
CBRE-M8-CO096-NorAm Campus-7595 Technology Way|CBRE Inc|CO|1|1|3|5719|952743174|'CBRE'|cbre
CBRE-M8-CO194-Data Center-2720 East Council Tree|CBRE Inc|CO|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-CO201-Data Center-5601 S Broadway|CBRE Inc|CO|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-CO307-1650 Data Center- Boulevard|CBRE Inc|CO|1|1|1|1733|952743174|'CBRE'|cbre
CBRE-M8-DC097-NorAm Campus-901 K Street Northwest|CBRE Inc|DC|1|1|4|8145|952743174|'CBRE'|cbre
CBRE-M8-DC120-Data Center-1717 Rhode Island Avenue Northwest|CBRE Inc|DC|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-FL232-Data Center-1717 Mason Avenue|CBRE Inc|FL|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-FL492-Data Center-200 S. Orange Avenue|CBRE Inc|FL|1|1|1|2253|952743174|'CBRE'|cbre
CBRE-M8-FL582-NorAm Campus-0505 North John Rodes Boulevard|CBRE Inc|FL|1|1|2|4333|952743174|'CBRE'|cbre
CBRE-M8-FL584-Data Center-1 Independent Drive|CBRE Inc|FL|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-GA004-Office-3340 Peachtree Road|CBRE Inc|GA|1|1|1|2773|952743174|'CBRE'|cbre
CBRE-M8-GA1001-NorAm Campus-881 Peachtree Street|CBRE Inc|GA|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-GA-323-NorAm Campus-3550 Lenox Road|CBRE Inc|GA|1|1|3|6066|952743174|'CBRE'|cbre
CBRE-M8-GA382-Data Center-1601 North River Road|CBRE Inc|GA|1|1|2|3639|952743174|'CBRE'|cbre
CBRE-M8-GA414-NorAm Campus-170 17th Street NW|CBRE Inc|GA|1|1|15|30847|952743174|'CBRE'|cbre
CBRE-M8-IA002-Data Center-1055 Jordan Creek Parkway|CBRE Inc|IA|1|1|1|1733|952743174|'CBRE'|cbre
CBRE-M8-IA005-Data Center-4900 University Avenue|CBRE Inc|IA|1|1|1|867|952743174|'CBRE'|cbre
CBRE-M8-IA008-NorAm Campus-666 Walnut St.|CBRE Inc|IA|1|1|2|4333|952743174|'CBRE'|cbre
CBRE-M8-IA029-Data Center-8855 Grand Avenue|CBRE Inc|IA|1|1|6|12478|952743174|'CBRE'|cbre
CBRE-M8-IA604-Data Center-550 Southeast White Crane Road|CBRE Inc|IA|1|1|5|9358|952743174|'CBRE'|cbre
CBRE-M8-ID018-NorAm Campus-401 W Front St.|CBRE Inc|ID|1|1|1|1560|952743174|'CBRE'|cbre
CBRE-M8-ID027-Data Center-950 West Bannock Street|CBRE Inc|ID|1|1|1|1733|952743174|'CBRE'|cbre
CBRE-M8-IL1486-Data Center-3311 Charles Street|CBRE Inc|IL|1|1|1|2253|952743174|'CBRE'|cbre
CBRE-M8-IL190-NorAm Campus-200 E Randolph Dr.|CBRE Inc|IL|1|1|10|20276|952743174|'CBRE'|cbre
CBRE-M8-IL191-NorAm Campus-601 Northwest Avenue|CBRE Inc|IL|1|1|10|21316|952743174|'CBRE'|cbre
CBRE-M8-IL193-Data Center-3025 Highland Pkwy|CBRE Inc|IL|1|1|2|4333|952743174|'CBRE'|cbre
CBRE-M8-IN080-Data Center-8900 Keystone Crossing|CBRE Inc|IN|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-MA057-NorAm Campus-1 Memorial Dr.|CBRE Inc|MA|1|1|3|6932|952743174|'CBRE'|cbre
CBRE-M8-MA124-NorAm Campus-8 Wayside Drive|CBRE Inc|MA|1|1|1|2253|952743174|'CBRE'|cbre
CBRE-M8-MA200-NorAm Campus-100 Federal Street|CBRE Inc|MA|1|1|2|3119|952743174|'CBRE'|cbre
CBRE-M8-MA270-NorAm Campus-5 Wayside Road|CBRE Inc|MA|1|1|3|6759|952743174|'CBRE'|cbre
CBRE-M8-MA305-NorAm Campus-101 Arch Street|CBRE Inc|MA|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-MD108-Data Center-2720 Technology Drive|CBRE Inc|MD|1|1|1|2946|952743174|'CBRE'|cbre
CBRE-M8-MD236-NorAm Campus-6518 Meadowridge Road|CBRE Inc|MD|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-MI1337-Data Center-46555 Magellan Drive|CBRE Inc|MI|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-MI137-NorAm Campus-400 Renaissance Center|CBRE Inc|MI|1|1|1|1560|952743174|'CBRE'|cbre
CBRE-M8-MN052-NorAm Campus-8000 West 78th Street|CBRE Inc|MN|1|1|2|3639|952743174|'CBRE'|cbre
CBRE-M8-MN191-Data Center-1001 3rd Avenue South|CBRE Inc|MN|1|1|2|3639|952743174|'CBRE'|cbre
CBRE-M8-MO050-Data Center-2121 E. 63rd Street|CBRE Inc|MO|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-MO127-Data Center-4220 Duncan Avenue|CBRE Inc|MO|1|1|1|2253|952743174|'CBRE'|cbre
CBRE-M8-NC111-Data Center-7025 Kit Creek Rd|CBRE Inc|NC|1|1|2|3986|952743174|'CBRE'|cbre
CBRE-M8-NC195-NorAm Campus-8050 Microsoft Way|CBRE Inc|NC|1|1|6|12651|952743174|'CBRE'|cbre
CBRE-M8-NC287-Data Center-1009 Think Place|CBRE Inc|NC|1|1|3|5892|952743174|'CBRE'|cbre
CBRE-M8-NC983-NorAm Campus-1120 South Tryon Street|CBRE Inc|NC|1|1|1|693|952743174|'CBRE'|cbre
CBRE-M8-ND010-NorAm Campus-1 Lonetree Rd.|CBRE Inc|ND|1|1|10|19756|952743174|'CBRE'|cbre
CBRE-M8-NH007-Data Center-11 Northeastern Boulevard|CBRE Inc|NH|1|1|1|2426|952743174|'CBRE'|cbre
CBRE-M8-NJ1042-Data Center-1150 Commerce Boulevard|CBRE Inc|NJ|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-NM004-NorAm Campus-6100 Uptown Blvd.|CBRE Inc|NM|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-NV003-NorAm Campus-6980 Sierra Center Parkway|CBRE Inc|NV|1|1|1|1906|952743174|'CBRE'|cbre
CBRE-M8-NV035-NorAm Campus-6900 S. McCarran Blvd|CBRE Inc|NV|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-NV043-NorAm Campus-6800 Sierra Center Pkwy|CBRE Inc|NV|1|1|1|2426|952743174|'CBRE'|cbre
CBRE-M8-NY1385-NorAm Campus-300 Lafayette Street|CBRE Inc|NY|1|1|2|3986|952743174|'CBRE'|cbre
CBRE-M8-NY1399-NorAm Campus-677 5th Avenue|CBRE Inc|NY|1|1|2|4159|952743174|'CBRE'|cbre
CBRE-M8-NY1486-NorAm Campus-122 Fifth Avenue|CBRE Inc|NY|1|1|2|4852|952743174|'CBRE'|cbre
CBRE-M8-NY263-NorAm Campus-Eleven Times Square|CBRE Inc|NY|1|1|8|17503|952743174|'CBRE'|cbre
CBRE-M8-NY356-NorAm Campus-3 Times Square|CBRE Inc|NY|1|1|1|1040|952743174|'CBRE'|cbre
CBRE-M8-NY395-NorAm Campus-2601 Ocean Parkway|CBRE Inc|NY|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-NY631-NorAm Campus-375 Woodcliff Drive|CBRE Inc|NY|1|1|1|1560|952743174|'CBRE'|cbre
CBRE-M8-OH150-NorAm Campus-6050 Oak Tree Blvd|CBRE Inc|OH|1|1|1|1733|952743174|'CBRE'|cbre
CBRE-M8-OH-237-NorAm Campus-4445 Lake Forest Drive|CBRE Inc|OH|1|1|1|1733|952743174|'CBRE'|cbre
CBRE-M8-OH422-NorAm Campus-3169 State Route|CBRE Inc|OH|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-OH578-NorAm Campus-200 Civic Center Drive|CBRE Inc|OH|1|1|1|867|952743174|'CBRE'|cbre
CBRE-M8-OR1039-Data Center-7650 NE Shaleen Street|CBRE Inc|OR|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-OR348-NorAm Campus-9820 NW Gibbs Drive|CBRE Inc|OR|1|1|4|8665|952743174|'CBRE'|cbre
CBRE-M8-PA1118-NorAm Campus-301 Grant Street|CBRE Inc|PA|1|1|1|1906|952743174|'CBRE'|cbre
CBRE-M8-PA179-NorAm Campus-45 Liberty Blvd|CBRE Inc|PA|1|1|2|4159|952743174|'CBRE'|cbre
CBRE-M8-PA337-NorAm Campus-3750 State Road|CBRE Inc|PA|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-PA910-NorAm Campus-910 River Avenue|CBRE Inc|PA|1|1|1|2600|952743174|'CBRE'|cbre
CBRE-M8-TN016-NorAm Campus-668 North Riverside Drive|CBRE Inc|TN|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-TN266-NorAm Campus-22 2nd Avenue South|CBRE Inc|TN|1|1|1|1560|952743174|'CBRE'|cbre
CBRE-M8-TN272-NorAm Campus-6070 Poplar Avenue|CBRE Inc|TN|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-TX005-NorAm Campus-Lincoln Plaza|CBRE Inc|TX|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-TX087-NorAm Campus-1740 W. 27th Street|CBRE Inc|TX|1|1|1|1560|952743174|'CBRE'|cbre
CBRE-M8-TX1101-NorAm Campus-425 Houston Street|CBRE Inc|TX|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-TX1301-NorAm Campus-5400 LBJ Freeway|CBRE Inc|TX|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-TX1369-Data Center-15000 Block Lambda Drive|CBRE Inc|TX|1|1|10|20796|952743174|'CBRE'|cbre
CBRE-M8-TX1443-NorAm Campus-750 Town and Country Boulevard|CBRE Inc|TX|1|1|4|8838|952743174|'CBRE'|cbre
CBRE-M8-TX1484-NorAm Campus-9655 Raba Drive|CBRE Inc|TX|1|1|2|3293|952743174|'CBRE'|cbre
CBRE-M8-TX427-NorAm Campus-10900 Stone Lake Blvd|CBRE Inc|TX|1|1|1|2426|952743174|'CBRE'|cbre
CBRE-M8-TX429-NorAm Campus-7100 North State Highway 61|CBRE Inc|TX|1|1|11|23569|952743174|'CBRE'|cbre
CBRE-M8-TX430-NorAm Campus-401 E. Sonterra Blvd|CBRE Inc|TX|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-TX431-NorAm Campus-5150 Rogers Rd|CBRE Inc|TX|1|1|7|13691|952743174|'CBRE'|cbre
CBRE-M8-TX590-NorAm Campus-2375 N Glenville Drive|CBRE Inc|TX|1|1|2|3639|952743174|'CBRE'|cbre
CBRE-M8-TX872-NorAm Campus-9800 Fredericksburg Rd|CBRE Inc|TX|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-UT037-NorAm Campus-3300 North Triumph Boulevard|CBRE Inc|UT|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-VA001-NorAm Campus-11111 Sunset Hill Road|CBRE Inc|VA|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-VA064-NorAm Campus-10912 Bulloch Dr|CBRE Inc|VA|1|1|1|2946|952743174|'CBRE'|cbre
CBRE-M8-VA080-NorAm Campus-6641 West Broad Street|CBRE Inc|VA|1|1|2|1560|952743174|'CBRE'|cbre
CBRE-M8-VA1006-NorAm Campus-1300 Wilson Boulevard|CBRE Inc|VA|1|1|5|10225|952743174|'CBRE'|cbre
CBRE-M8-VA1015-NorAm Campus-42350 Red Triangle Lane|CBRE Inc|VA|1|1|4|7452|952743174|'CBRE'|cbre
CBRE-M8-VA1022-NorAm Campus-11955 Freedom Drive|CBRE Inc|VA|1|1|7|15424|952743174|'CBRE'|cbre
CBRE-M8-VA1031-NorAm Campus-24171 Youngwood Lane|CBRE Inc|VA|1|1|2|2426|952743174|'CBRE'|cbre
CBRE-M8-VA178-NorAm Campus-12012 Sunset Hills Rd|CBRE Inc|VA|1|1|4|8318|952743174|'CBRE'|cbre
CBRE-M8-VA180-NorAm Campus-101 Herbert Drive|CBRE Inc|VA|1|21|23|46964|952743174|'CBRE'|cbre
CBRE-M8-VA238-NorAm Campus-44521 Hastings Drive|CBRE Inc|VA|1|1|2|3986|952743174|'CBRE'|cbre
CBRE-M8-VA253-NorAm Campus-10880 Airman Avenue|CBRE Inc|VA|1|1|5|10398|952743174|'CBRE'|cbre
CBRE-M8-VA285-NorAm Campus-44480 Hastings Drive|CBRE Inc|VA|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-VA322-NorAm Campus-19515 Compass Creek Parkway|CBRE Inc|VA|1|1|1|1906|952743174|'CBRE'|cbre
CBRE-M8-WA005-Main Campus-1420 5th Ave.|CBRE Inc|WA|1|1|2|4159|952743174|'CBRE'|cbre
CBRE-M8-WA029-Main Campus-5020 148th Avenue|CBRE Inc|WA|1|3|270|560799|952743174|'CBRE'|cbre
CBRE-M8-WA029-Main Campus-5020 148th Avenue NE|CBRE Inc|WA|1|21|40|83531|952743174|'CBRE'|cbre
CBRE-M8-WA031-Main Campus-10525 Willows Road NE|CBRE Inc|WA|1|1|6|12998|952743174|'CBRE'|cbre
CBRE-M8-WA031-Main Campus-10545 Willows Road NE|CBRE Inc|WA|1|1|10|20623|952743174|'CBRE'|cbre
CBRE-M8-WA051-Main Campus-18200 NE Union Hill Road|CBRE Inc|WA|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-WA103-Main Campus-1420 5th Avenue|CBRE Inc|WA|1|1|1|2600|952743174|'CBRE'|cbre
CBRE-M8-WA1053-NorAm Campus-2000 N Wenatchee Ave|CBRE Inc|WA|1|1|2|3466|952743174|'CBRE'|cbre
CBRE-M8-WA1077-Main Campus-11351 Willows Rd|CBRE Inc|WA|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-WA1096-NorAm Campus-22422 29th Drive S. E.|CBRE Inc|WA|1|1|1|1733|952743174|'CBRE'|cbre
CBRE-M8-WA113-Main Campus-15001 N. E. 36th Street|CBRE Inc|WA|1|1|1|347|952743174|'CBRE'|cbre
CBRE-M8-WA114-Data Center-501 Port Industrial Parkway|CBRE Inc|WA|1|1|14|28075|952743174|'CBRE'|cbre
CBRE-M8-WA146-Main Campus-5000 148th Avenue NE|CBRE Inc|WA|1|21|31|64294|952743174|'CBRE'|cbre
CBRE-M8-WA157-Main Campus-8950 154th Avenue NE|CBRE Inc|WA|1|1|19|39512|952743174|'CBRE'|cbre
CBRE-M8-WA170-NorAm Campus-323 S Division St.|CBRE Inc|WA|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-WA189-Main Campus-1121 124th Avenue NE|CBRE Inc|WA|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-WA247-Main Campus-4200 150th Avenue NE|CBRE Inc|WA|1|22|215|446248|952743174|'CBRE'|cbre
CBRE-M8-WA381-NorAm Campus-875 Urban Industrial Way|CBRE Inc|WA|1|1|2|4159|952743174|'CBRE'|cbre
CBRE-M8-WI106-NorAm Campus-100 East Wisconsin Avenue|CBRE Inc|WI|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-WI125-NorAm Campus-1404 Wisconsin Ct.|CBRE Inc|WI|1|1|1|2080|952743174|'CBRE'|cbre
CBRE-M8-WY005-NorAm Campus-644 Logistics Drive|CBRE Inc|WY|1|1|9|17850|952743174|'CBRE'|cbre
CBRE-M8-WY012-NorAm Campus-5707 Loving Trail|CBRE Inc|WY|1|1|4|7972|952743174|'CBRE'|cbre
CBRE - Midland State Bank|CBRE Inc|IL|1|1|7|14557|952743174|'CBRE'|cbre
CBRE-Moet-Irvine|CBRE Inc|CA|1|1|1|1040|952743174|'CBRE'|cbre
CBRE-Moet-Irving|CBRE Inc|TX|1|1|1|867|952743174|'CBRE'|cbre
CBRE-Moet-Las Vegas|CBRE Inc|NV|1|1|1|867|952743174|'CBRE'|cbre
CBRE-Moet-Miramar|CBRE Inc|FL|1|1|1|1040|952743174|'CBRE'|cbre
CBRE-Moet-New York|CBRE Inc|NY|1|1|7|8492|952743174|'CBRE'|cbre
