company_name|ein|stripped_company_name|annual_average_employees_2020|annual_average_employees_2021|annual_average_employees_2022|annual_average_employees_2023|annual_average_employees_2024|total_hours_worked_2020|total_hours_worked_2021|total_hours_worked_2022|total_hours_worked_2023|total_hours_worked_2024
Cooper Roofing & Solar Inc.|270365569|cooper roofing & solar|0|0|378|15|11|0|0|812700|32140|23909
Core Roofing Systems, Inc.|260002028|core roofing|0|185|0|0|0|0|372525|0|0|0
Corey Management Group, LLC|464045602|corey|0|0|88|86|103|0|0|179168|163785|206770
Cornerstone Roofing, Inc.|911712646|cornerstone roofing|34|32|36|35|35|57672|56140|66368|62285|66124
Cotterman & Company, Inc.|341391975|cotterman|24|19|20|21|0|46722|39740|44532|46931|0
Cotterman & Cotterman, Inc.|10769347|cotterman & cotterman|0|0|90|99|0|0|0|163028|157473|0
Cotton Holdings, Inc.||cotton|0|0|0|0|83|0|0|0|0|94445
Couto Construction|883637523|couto|0|0|0|0|46|0|0|0|0|66516
Covenant Roofing & Construction,Inc.|454617202|covenant roofing & constructioninc|0|137|198|219|306|0|284960|411840|416580|458397
Cowboys Roofing|825073887|cowboys roofing|0|0|0|0|95|0|0|0|0|5446652
Cox Roofing|50602305|cox roofing|45|34|24|27|0|72637|58442|36466|39185|0
CP Rankin, Inc.|260311486|cp rankin|87|95|101|95|95|219115|239274|190734|189420|185420
Crabapple Roofing Contractors, LLC|272382332|crabapple roofing|31|0|29|49|0|54394|0|60320|127400|0
Crafts Inc.|390752484|crafts|68|62|67|72|72|121801|108183|124349|132955|126344
Craftsman Roofing Services, Inc.|851268037|craftsman roofing|38|44|20|0|0|18865|32939|45128|0|0
Cram Roofing Company, Inc.|742700689|cram roofing|0|94|86|86|0|0|189596|169422|170250|0
Crawford Roofing Experts|320359884|crawford roofing experts|24|20|22|18|16|35539|38714|29009|34146|31041
CRAWFORD ROOFING INC.|730951924|crawford roofing|29|27|73|75|41|26063|3078125|5094450|73260|52121
Crego Roofing Of New Mexico LLC|844364480|crego roofing of new mexico|0|0|0|7|6|0|0|0|11766|10283
CRM South, Inc.|464899617|crm south|36|0|0|0|0|60066|0|0|0|0
Crocker Architectural Sheet Metal Co., Inc.||crocker architectural sheet metal|39|36|0|40|42|75704|64560|0|75448|76980
Crosby Roofing & Gutters LLC|272024220|crosby roofing & gutters|0|23|0|0|0|0|41860|0|0|0
CROSS ATLANTIC SOLAR LLC|823300127|cross atlantic solar|13|18|0|0|0|22865|31771|0|0|0
CROWN ROOFING||crown roofing|7|6|6|5|0|11081|10087|9139|6869|0
Crown Roofing & Waterproofing|473584356|crown roofing & waterproofing|0|0|0|300|250|0|0|0|950000|1900000
Crowther Roofing|650653836|crowther roofing|558|570|610|0|1124|1180432|1135089|1190275|0|1919426
Crowther Roofing and Sheet Metal, Inc.||crowther roofing & sheet metal|50|50|50|50|50|75371|62551|68555|65394|70310
CROWTHER ROOFING SERVICES, LLC|452517935|crowther roofing|0|0|0|16|0|0|0|0|20904|0
CSR Roofing Contractors, Inc.||csr roofing|0|0|50|49|51|0|0|74529|71935|73875
Cuddy Roofing Company Inc|251664799|cuddy roofing|40|15|15|18|24|48487|30632|31431|34094|42499
Culbertson Company of Virginia,LLC|141873375|culbertson company of virginiallc|0|130|140|0|177|0|229786|199994|0|333728
Curtis C Roofing|815469280|curtis c roofing|103|115|135|83|60|155964|169061|43000|55737|91058
Curtis-McKinley Roofing & Sheet Metal Inc.|752083478|curtis-mckinley roofing & sheet metal|43|33|34|39|35|82745|73081|66711|82109|64498
Custofoam Corp.|391178726|custofoam|25|18|21|23|24|29275|20007|36370|34768|40355
Custom Coatings, Inc.|561921133|custom coatings|0|0|24|24|29|0|0|54945|31600|50313
Custom Installations, Inc|363846505|custom installations|0|0|0|25|25|0|0|0|44300|44300
CYE Enterprises Inc|770635487|cye|0|0|0|0|22|0|0|0|0|36652
D Peck Roofing Inc|650738224|d peck roofing|33|34|33|41|37|15109|15590|15363|19512|17699
D&L Roofing, LLC|272001551|d & l roofing|0|0|61|58|65|0|0|86638|80831|95371
d-7 Roofing LLC|743193913|d-7 roofing|0|0|276|377|355|0|0|583628|648225|718106
D. C. Taylor Co|420839633|d. c. taylor|0|254|121|288|0|0|444318|207457|429065|0
D> C. Taylor Co||d> c. taylor|0|8|0|0|0|0|13656|0|0|0
Daech & Bauer Roofing Company Inc.|474922381|daech & bauer roofing|1|2|0|0|0|1960|2599|0|0|0
Dakota Corp dba Jessie Bryant Roofing||dakota corp dba jessie bryant roofing|50|0|0|50|50|110051|0|0|142589|115165
Dale Crampton Company|710383793|dale crampton|24|22|23|22|0|49102|42724|43998|30224|0
Dalex Construction Inc|352250654|dalex|19|22|19|17|20|34604|40165|32771|29758|34909
DAMSCHRODER ROOFING INC|342037110|damschroder roofing|36|37|40|49|61|49187|62298|73066|83942|116520
DAN SHEPLER ROOFING, INC.|202668197|dan shepler roofing|17|18|17|32|0|33839|30341|28123|56426|0
Daniel Best Roofing  Inc|883014418|daniel best roofing|0|0|0|0|10|0|0|0|0|4160
Danny Letner Inc|330603152|danny letner|360|0|0|0|0|776829|0|0|0|0
Daugherty Construction Inc|341617760|daugherty|24|23|40|23|0|47751|40263|41087|38487|0
Davco Roofing & Sheet Metal|263102788|davco roofing & sheet metal|0|0|0|60|63|0|0|0|101772|82359
DAVID & LISA ENTERPRISES, INC.|464378595|david & lisa|27|22|19|40|0|38887|32364|29775|52690|0
David J Marley Roofing Contractors Inc|455407399|david j marley roofing|0|0|21|23|21|0|0|42386|47074|42251
David J. Hyde & Associates Inc|431508562|david j. hyde|0|0|0|15|0|0|0|0|25537|0
David Lundberg Bldg & Roofing Contractor|542131055|david lundberg bldg & roofing contractor|29|0|0|31|27|48682|0|0|68808|58506
David Lundberg Building & Roofing Contractor|526111824|david lundberg building & roofing contractor|0|0|33|31|27|0|0|71185|68808|58506
David M. Maines Associates, Inc.|232581270|david m. maines|81|89|95|91|98|157510|180154|184106|191093|183422
David Swihart Roofing Inc|454320614|david swihart roofing|0|0|0|0|28|0|0|0|0|49385
Davis Roofing & Sheetmetal, LLC|461564244|davis roofing & sheetmetal|24|22|20|18|23|27004|38534|34101|33007|43534
Daybreak, Inc.|205241505|daybreak|0|0|0|0|23|0|0|0|0|50111
Dayco, Inc.|30340853|dayco|0|0|12|12|0|0|0|25776|29080|0
DB2 Services Inc|264075785|db2|0|0|67|76|90|0|0|118198|127918|93467
DCG Roofing Solutions, Inc|205216594|dcg roofing|63|78|80|75|123|84974|88408|112093|101789|135539
DDP Roofing Services Inc.|201214720|ddp roofing|0|96|98|110|110|0|238429|275111|229323|221153
DDR Roofing LLC dba DDR Quality Roofing & Sheet Metal|261188315|ddr roofing llc dba ddr quality roofing & sheet metal|29|22|19|0|0|58240|43120|37500|0|0
DE MELLO ROOFING INC|942221475|de mello roofing|0|0|26|50|28|0|0|9053|82680|36899
DeckTight Roofing Services Inc|650160298|decktight roofing|108|0|67|98|102|220216|0|156428|147584|229967
Deer Park Roofing|311803193|deer park roofing|100|159|121|38|130|218277|388260|235132|58457|304203
Delmarva Roofing & Coating, Inc.|510308585|delmarva roofing & coating|38|0|0|0|0|85506|0|0|0|0
Delta Contracting Services Inc.|223213749|delta contracting|34|34|38|41|43|63667|64355|66233|72165|68399
Delta Innovative Services|200820115, 264075785|delta innovative|0|223|0|0|0|0|414442|0|0|0
DePinho Roofing, Inc.|330589690|depinho roofing|0|0|65|0|70|0|0|133136|0|135735
Desert Roofing, LLC|384159683|desert roofing|0|0|0|70|0|0|0|0|64614|0
DESIGNED ROOFING SYSTEMS, INC.|371270061|designed roofing|0|19|22|0|0|0|25860|34673|0|0
Detroit Cornice and Slate Company, Inc.|381960946|detroit cornice & slate|11|11|12|15|14|21831|20483|25088|30773|27379
Detwiler Roofing LLC|460559033|detwiler roofing|0|49|50|51|51|0|101920|70769|97167|87987
DI PASQUA CONSTRUCTION, INC.|203128070|di pasqua|0|20|13|21|16|0|20254|22574|20511|23396
Diablo Roofing Inc|463056253|diablo roofing|0|0|0|0|120|0|0|0|0|249600
Diamond Everley Roofing Contractors|481048575|diamond everley roofing|0|45|0|40|0|0|74131|0|51751|0
DIAMOND ROOFING|465371765|diamond roofing|0|0|0|0|82|0|0|0|0|179088
Diekevers Roofing, Inc.|382414014|diekevers roofing|0|0|0|15|0|0|0|0|20000|0
Dils Roofing|330492050|dils roofing|0|0|0|29|45|0|0|0|65820|78620
Direct Building Supplies, LLC - DBA Home ReNu|460908955|direct building supplies llc - dba home renu|0|0|152|150|0|0|0|153312|138508|0
Diverse Construction Service LLC|371690357|diverse construction service|25|25|25|16|14|13151|21469|13220|1156850|1003375
Diversified Roofing|860599690|diversified roofing|0|0|420|456|400|0|0|447005|866910|752599
Division 7 Building Contractors Inc.|203241913|division 7 building|0|0|0|60|63|0|0|0|91392|93114
Division 7 Roofing|311184359|division 7 roofing|0|0|0|65|64|0|0|0|136735|158479
Division 7 Services, Inc||division 7|40|14|52|55|71|78864|15308|89440|87884|125207
Dixie Roofing, Inc.|621136030|dixie roofing|170|140|175|190|200|441660|393618|394087|526743|513457
DKG & Associates Inc.|742816319|dkg|0|0|74|88|170|0|0|152720|171632|347714
DLJ Commercial Roofing LLC|271337110|dlj commercial roofing|0|20|21|21|18|0|41847|34906|31000|16676
Domack Restoration, LLC|061615584|domack restoration|28|0|0|0|0|40377|0|0|0|0
Domain Corp|810560648|domain|20|0|21|0|0|30000|0|30500|0|0
Dominion Siding, Inc.|264041317|dominion siding|0|0|40|0|0|0|0|83200|0|0
Don Kennedy Roofing Co.|621387025|don kennedy roofing|147|100|98|100|100|195033|193569|97114|208000|208000
Don Largent Roofing, Inc|520697444|don largent roofing|0|0|34|0|0|0|0|65656|0|0
Don Schmidt Contracting & Roofing, Inc.|592885246|don schmidt contracting & roofing|15|0|0|10|0|19154|0|0|20236|0
Donald B. Smith, Inc.|231483449|donald b. smith|0|0|0|0|35|0|0|0|0|95913
Donaly Roofing & Construction, Inc|364269912|donaly roofing|0|0|0|0|8|0|0|0|0|15360
Doradus Corp DBA Alvarez Roofing|593472464|doradus corp dba alvarez roofing|0|19|20|0|0|0|38364|37627|0|0
Double C Construction LLC,  DBA Chapman Construction LLC|264799044|double c construction llc dba chapman|21|23|26|26|0|34694|33285|38464|41347|0
Double D Roofing & Sheet Metal, Inc.|232522829|double d roofing & sheet metal|0|0|30|0|0|0|0|51820|0|0
Douglass Colony Group Inc.|840513471|douglass colony|533|318|318|368|376|726422|644258|581824|739615|735913
DR Martineau Construction Inc|411821411|dr martineau|35|45|48|50|48|85000|63936|65817|96000|33189
DR Roof Inc|371781779|dr roof|0|0|48|50|45|0|0|97920|93000|2040
Dri Tech Corporation|880394400|dri tech|98|0|105|124|0|159972|0|169547|227780|0
DRS of Central Florida, Inc.|593327076|drs of central florida|28|22|20|0|20|42255|45760|37091|0|39766
DSRC Services LLC|870843373|dsrc|0|66|65|67|50|0|45042|125331|181541|131118
Dudeck Roofing & Sheet Metal, Inc.|351954551|dudeck roofing & sheet metal|36|38|37|40|39|50723|55618|55152|60135|60144
Dunmore Roofing & Supply Co. Inc.|231736824|dunmore roofing & supply|49|42|40|35|35|52925|39068|64479|54149|59663
Durabilis Roofing||durabilis roofing|0|0|10|0|0|0|0|19200|0|0
Dwayne Nash Industries, Inc.|911784687|dwayne nash|163|0|0|0|0|391200|0|0|0|0
Dynamic Holdings|832750109|dynamic|52|51|39|40|37|60372|86344|238160|71929|71856
Dynamic Roofing Concepts Inc.|204094607|dynamic roofing concepts|0|0|0|0|22|0|0|0|0|34924
E M Management Services, Inc.|341955850|e m|24|25|0|0|27|44398|43701|0|0|44946
E. Cornell Malone Corporation|640677155|e. cornell malone|0|0|0|113|0|0|0|0|241934|0
E.D. Chase Company, Inc||e.d. chase|24|0|0|0|0|37579|0|0|0|0
Eagle Rivet Roof Services Corporation|421553501|eagle rivet roof|49|56|52|54|61|99733|100234|103747|109537|114518
East Fork Roofing, LLC|465572067|east fork roofing|20|0|0|0|0|23477|0|0|0|0
East Moline Sheet Metal Co., Inc.|200312596|east moline sheet metal|30|0|28|34|38|52739|0|54494|60824|65920
East Muskegon Roofing and Sheet Metal Co. Inc|381469436|east muskegon roofing & sheet metal|80|66|70|82|70|147423|133609|141276|155389|154366
Easton Roofing|465156869|easton roofing|0|0|25|21|0|0|0|52175|42000|0
Eberhard|953071086|eberhard|165|120|176|160|145|263188|252766|273705|294584|22470
Eberhard A Tecta America Company, LLC.|933986475|eberhard a tecta america|0|0|0|0|138|0|0|0|0|265396
EBERHARD BENTON ROOFING|330733202|eberhard benton roofing|0|0|0|35|0|0|0|0|71348|0
Eberhard SMC|954479334|eberhard smc|54|0|0|0|0|14508|0|0|0|0
Eberhard Southwest Roofing, A Tecta America Company LLC|933999053|eberhard southwest roofing a tecta america|0|0|0|0|71|0|0|0|0|117252
Eberhard Southwest Roofing, Inc.|880330070|eberhard southwest roofing|67|64|49|67|44|145383|135176|101139|134194|7343
Eby Exteriors|231988847|eby exteriors|0|0|0|0|14|0|0|0|0|27989
Eckstein Roofing Co.||eckstein roofing|28|0|0|0|0|48979|0|0|0|0
Economy Roofing & Insulating Co., Inc|420667583|economy roofing & insulating|23|26|22|24|24|35780|39357|30920|37372|36000
ED SENEZ ROOFING SPECIALIST, LLC|824410776|ed senez roofing specialist|0|0|17|0|0|0|0|35637|0|0
Ed's Economy Roofing, LLC|392066115|ed's economy roofing|0|16|18|17|18|0|25883|28836|26597|31784
EDA Contractors, Inc|833073794|eda|0|0|0|0|26|0|0|0|0|51935
Edge Roofing, Inc.|202088923|edge roofing|0|29|27|26|33|0|39265|44876|43057|44360
Edwards Roofing Company inc|591101925|edwards roofing|47|39|39|37|32|82943|72307|64675|61614|61883
Elens & Maichin Roofing & Sheet Metal, Inc.|362807358|elens & maichin roofing & sheet metal|35|34|33|38|33|61630|61547|56172|64007|59842
Elmer W. Davis, Inc||elmer w. davis|250|250|0|230|250|355175|280350|0|333213|260723
Elo Restoration INC DBA Elo Roofing INC|464298926|elo restoration inc dba elo roofing|0|0|64|70|90|0|0|133120|73360|187001
EM Management Services Inc|341958850|em|0|0|28|29|0|0|0|53846|58617|0
EMC CONSTRUCTION, CORP|824469539|emc|0|31|29|46|27|0|21124|33605|56512|18743
EMERALD ROOFING, INC.|043706668|emerald roofing|11|0|0|0|0|12138|0|0|0|0
Emmons Roof Service, Inc.|954349721|emmons roof service|0|0|0|25|28|0|0|0|45251|51006
Empire Roofing and Sheet Metal|831519734|empire roofing & sheet metal|26|49|22|28|37|30538|82092|59372|56984|72873
Empire Roofing Companies Inc|752759310|empire roofing companies|207|189|165|79|67|491398|422926|423562|159341|147126
Empire Roofing Inc of Nashville|454526366|empire roofing inc of nashville|33|40|19|0|0|60496|86841|79961|0|0
Empire Roofing Inc.|751828325, 810495020|empire roofing|0|0|254|0|0|0|0|518623|0|0
Empire Roofing of Georgia|271811195|empire roofing of georgia|27|64|26|21|20|60965|106522|72388|50980|41600
Empire Roofing of Oklahoma|464038268|empire roofing of oklahoma|45|40|30|37|40|111419|81112|74029|72289|72239
Empire Roofing of Southeast|261887467|empire roofing of southeast|83|76|85|89|80|186714|166786|161939|175241|186603
Empire Roofing of Tennessee, LLC|621874337|empire roofing of tennessee|22|0|0|11|13|42555|0|0|24993|23850
Encompass Roofing & Waterproofing, Inc.|453909846|encompass roofing & waterproofing|21|15|0|0|0|38213|27383|0|0|0
Encore Roofing, Inc.|10551453|encore roofing|0|0|60|60|0|0|0|130537|158888|0
Encore Roofing,Inc.|010551453|encore roofinginc|0|0|0|0|60|0|0|0|0|140799
Enloe, Inc|570609508|enloe|32|0|0|0|0|80285|0|0|0|0
Enterprise Roofing & Sheet Metal Company|310569979|enterprise roofing & sheet metal|85|80|111|105|98|116133|112015|120245|135190|132092
Enterprise Roofing Service, Inc.|941551712|enterprise roofing service|88|74|71|80|78|153010|94436|116123|136957|130849
Environmental Roofing & Waterproofing|770572713|environmental roofing & waterproofing|30|43|43|48|0|67074|59139|60302|81000|0
EQUITY ROOFING LLC|843902105|equity roofing|0|0|0|0|28|0|0|0|0|36231
Erie Construction Mid-West LLC.|341712631|erie construction mid-west|0|0|0|0|136255|0|0|0|0|2464071
Ernest Peterson, Incorporated|60643171|ernest peterson|0|0|0|24|0|0|0|0|39694|0
Esary Roofing & Siding Co Inc|911189270|esary roofing & siding|0|0|20|20|21|0|0|33385|35340|44188
Eskola LLC|200864887|eskola|112|0|0|0|0|240607|0|0|0|0
Eskola Roofing and Waterproofing, Inc||eskola roofing & waterproofing|0|0|0|236|700|0|0|0|406140|1020965
Estep and Hessburg LLC dba Proformance Roofing|811840708|estep & hessburg llc dba proformance roofing|0|0|0|104|4|0|0|0|237800|8500
Etheridge Roofing|261619912|etheridge roofing|0|0|0|0|15|0|0|0|0|31500
Etruscan Exteriors|811016054|etruscan exteriors|0|0|0|0|3|0|0|0|0|1920
EVANS ROOFING AND RAIN GUTTERS, INC.|462067793|evans roofing & rain gutters|0|0|15|14|0|0|0|21985|24960|0
Evergreen Roofing of Oregon|931000622|evergreen roofing of oregon|0|0|0|77|74|0|0|0|148457|133427
EverGuard Roofing, LLC|850481655|everguard roofing|0|0|0|75|75|0|0|0|153716|153026
EWD Inc dba Roof Rite|860731162|ewd inc dba roof rite|0|25|30|0|0|0|52000|62400|0|0
Excellco Coating Inc.|454424215|excellco coating|15|0|0|0|0|27587|0|0|0|0
EXTREME FLORIDA ROOFING LLC|873057048|extreme florida roofing|0|0|0|90|72|0|0|0|193236|112685
EZ Exteriors LLC|453810941|ez exteriors|0|0|0|0|25|0|0|0|0|23919
F & F Roofing Co.|112519403|f & f roofing|22|0|0|0|0|49756|0|0|0|0
F & G Roofing Company, LLC|201878777|f & g roofing|32|28|35|34|28|44338|40976|59463|43000|31194
F.J. Dahill|60314330|f.j. dahill|0|0|31|31|0|0|0|59495|55378|0
F.J.A. Christiansen Roofing Co., Inc|391702267|f.j.a. christiansen roofing|79|79|79|79|79|113424|119837|128016|133845|131440
Farrell Roofing|208890407|farrell roofing|0|30|26|30|30|0|2874150|48890|6414225|74279
Feazel Roofing LLC|311356520|feazel roofing|105|187|185|51|1|205251|141070|282071|78596|1080
Feeley, McAnespie, Inc.|43234436|feeley mcanespie|0|0|26|21|0|0|0|48019|38903|0
Ferguson Roofing and Exteriors||ferguson roofing & exteriors|0|0|0|0|18|0|0|0|0|17360
Ferguson Roofing Company Inc.|431073200|ferguson roofing|18|14|0|0|0|36000|27300|0|0|0
Fey Roofing and Sheet Metal|271722556|fey roofing & sheet metal|0|0|0|16|17|0|0|0|19284|19697
Fidelity Roof Company|941326440|fidelity roof|0|72|63|65|66|0|100841|102159|117219|132618
FIDUS ROOFING & CONSTRUCTION|454293045|fidus roofing|0|44|44|44|34|0|91520|91520|91520|68952
Filotto Roofing|363964971|filotto roofing|28|60|35|35|0|35791|83515|64283|67793|0
Finger Lakes Roofing Technologies Inc.|161543834|finger lakes roofing|0|0|9|9|9|0|0|8279|6418|3619
Finger Lakes Service Group Inc.|161447644|finger lakes service|0|0|0|0|30|0|0|0|0|50000
Firehouse Roofing||firehouse roofing|0|0|29|35|35|0|0|60000|72800|72800
FIRST AVENUE, INC.|821972076, 954618821|first avenue|75|0|0|0|0|150746|0|0|0|0
First Dimension Work||first dimension work|0|0|0|32|0|0|0|0|66560|0
First Quality Roofing|30429474|first quality roofing|0|0|21|18|0|0|0|37440|37440|0
First Student|592360435|first student|0|0|0|32|0|0|0|0|43006|0
Fitz Roofing LLC|901118889|fitz roofing|0|16|0|0|0|0|33280|0|0|0
Five Guys Services|465229405|five guys|90|67|71|75|115|230108|139360|247634|172335|255383
FLORIDA ROOF-TECH CORP ROOFING DONE RIGHT GUARANTEED|464408800|florida roof-tech corp roofing done right guaranteed|28|26|25|50|26|74371|72152|64445|107892|51292
florida southern roofing and sheet metal inc.|650303979|florida southern roofing & sheet metal|76|70|81|77|69|143692|136161|168531|157329|141628
FLORIDA STATE ROOFING CORP|834524611|florida state roofing|0|0|12|0|0|0|0|14761|0|0
Florida's Best Roofing Inc|141901085|florida's best roofing|0|0|0|0|22|0|0|0|0|37927
Flynn|352506375, 471731825, 472296160|flynn|0|0|0|1546|1363|0|0|0|3070558|2725581
Fontaine Weatherproofing Inc.|204014128|fontaine weatherproofing|62|57|56|69|72|124338|109409|132448|11679|136097
Fontana Roofing, Inc.|203177054|fontana roofing|20|20|0|0|0|36100|31396|0|0|0
Ford Roofing Systems Inc|461526455|ford roofing|14|0|0|0|0|25419|0|0|0|0
Fort Wayne Roofing A Tecta America Company, LLC|824410411|fort wayne roofing a tecta america|59|45|47|48|50|100784|75461|85628|95253|96489
Fort-Cica Roofing & General Contractors Inc.|131763196|fort-cica roofing & general|40|40|32|32|0|65634|70683|61447|63085|0
Foster Contracting, Inc.|901194237|foster contracting|0|0|16|14|14|0|0|25907|26116|30011
Four Seasons Kanga Roof|371532159|four seasons kanga roof|35|45|49|55|65|42620|41702|86900|92287|120480
Four Seasons Roofing|680287517|four seasons roofing|20|0|0|0|0|33335|0|0|0|0
FOXHAVEN ROOFING GROUP LLC|823647265|foxhaven roofing|0|0|13|46|29|0|0|21945|79382|44917
Frank Fiala Roofing, Inc.|943227246|frank fiala roofing|19|19|18|21|21|40328|38792|36091|42871|44165
Franks Roofing & Spraying Inc|592384290|franks roofing & spraying|12|19|0|0|0|67000|39520|0|0|0
Fraser Roofing LLC|271166392|fraser roofing|0|0|0|0|60|0|0|0|0|88320
Freddy and Son LLC|821093128|freddy & son|0|0|0|0|15|0|0|0|0|22040
FREDERIC CO INC|430278420|frederic|37|35|40|0|0|59985|59852|55767|0|0
Front Range Roofing Systems, LLC|841597218|front range roofing|145|0|130|130|123|266006|0|237438|221681|203003
Frontier Roofing||frontier roofing|0|0|0|0|15|0|0|0|0|31200
Frost Roofing, Inc.|300040717|frost roofing|0|0|0|27|26|0|0|0|58630|56022
Fry Roofing, Inc.|742384343|fry roofing|19|0|0|0|0|33300|0|0|0|0
FRYE ROOFING, INC.|550385426|frye roofing|21|0|0|0|0|37308|0|0|0|0
FSR SERVICES||fsr|55|0|0|0|0|131539|0|0|0|0
Fullmer Brotherhood Construction LLC|851560452|fullmer brotherhood|0|0|0|53|0|0|0|0|80118|0
Furoga Roofing Solutions|874189291|furoga roofing|0|0|0|8|0|0|0|0|2000|0
FW Walton|760027651|fw walton|0|33|243|236|218|0|73108|409310|498422|374712
G 7 HOLDINGS, INC.|651037789|g 7|21|0|0|0|0|35234|0|0|0|0
G Construction Contractors LLC|352700855|g|0|0|0|50|0|0|0|0|86400|0
G Fedale General Contractors LLC|300808228|g fedale general|0|89|0|0|0|0|173366|0|0|0
G. E. Riddiford Company, Inc. dba Riddiford Roofing Company|362554721|g. e. riddiford company inc. dba riddiford roofing|110|110|110|118|100|235574|222714|218527|232485|230170
G.R. Roofing Co., Inc.|010494204|g.r. roofing|18|17|0|0|0|29013|27668|0|0|0
GAGNON ROOFING, INC.|831871918|gagnon roofing|29|32|41|44|0|34435|36945|50275|70376|0
Gale Force Roofing and Restoration, LLC|824760284|gale force roofing & restoration|0|0|0|23|21|0|0|0|47840|41976
Galloway Roofing|454152916|galloway roofing|0|44|0|0|0|0|90030|0|0|0
GAMERO LEGACY LLC|871883633|gamero legacy|0|0|11|0|0|0|0|9024|0|0
Garabar Inc|562563387|garabar|0|127|155|155|149|0|257603|325000|297379|306796
Garcia Roofing & Sheet Metal, Inc.|200737553|garcia roofing & sheet metal|0|150|0|0|0|0|300000|0|0|0
Garcia Sheet Metal LLC||garcia sheet metal|0|0|149|91|128|0|0|177193|189280|144153
Gardner-Watson Decking|821628414|gardner-watson decking|0|0|0|127|0|0|0|0|298908|0
GEBS INDUSTRIES INC.|454048697|gebs|37|0|0|0|0|72152|0|0|0|0
Gehringer Corporation|232299879|gehringer|21|20|19|24|18|38699|42277|38112|44324|33330
GEISSLER ROOFING CO., INC.|370289850|geissler roofing|0|46|0|32|0|0|75255|0|67291|0
Gen3 AZ LLC||gen3 az|99|87|0|0|0|205454|179665|0|0|0
Gen3 CO LLC||gen3|199|138|0|0|0|247280|306671|0|0|0
Get Coastal Exteriors, Inc.|475653758|get coastal exteriors|0|0|0|0|25|0|0|0|0|53520
GF Sprague And Company LLC|923868050|gf sprague|0|0|0|0|19|0|0|0|0|38200
Gibson's Roofs, Inc|42860191|gibson's roofs|0|0|0|36|0|0|0|0|60064|0
Gil's Ventures, LLC||gil's|0|0|0|10|0|0|0|0|15442|0
Gillespie Roofing, Inc.|911334128|gillespie roofing|17|16|12|13|10|35011|30074|20867|25295|20473
GIRALD ROOFING SOLUTIONS LLC|882229131|girald roofing|0|0|0|2|29|0|0|0|680|29352
GKL Companies, Inc.|631050306|gkl companies|0|0|0|17|17|0|0|0|33592|37818
Glandt Roofing LLC|832568405|glandt roofing|0|0|0|15|15|0|0|0|15340|19585
Glidden Roofing Corporation|010463435|glidden roofing|0|15|0|0|0|0|45405|0|0|0
Global Roofing Group|860254394|global roofing|56|46|97|403|548|82359|95680|40956|1002191|931124
Global SBS Group, LLC DBA Structural Building Systems|812897832|global sbs group llc dba structural building|0|6|0|0|0|0|5760|0|0|0
Gluth Brothers Roofing Company Inc.|351850178|gluth brothers roofing|49|49|51|63|58|98000|70802|75521|93312|88606
GMC Blue Service|274017600|gmc blue service|0|0|0|30|15|0|0|0|62400|30000
GO SOLAR POWER LLC|823123181|go solar power|17|20|0|0|0|32046|35245|0|0|0
GoGreen Roofing Corporation|460840169|gogreen roofing|80|60|62|72|0|122432|108670|117977|127112|0
Golden State Roofing|562323166|golden state roofing|0|0|96|0|0|0|0|54014|0|0
Gomez and Son Contracting, LLC|931827483|gomez & son contracting|0|0|55|55|70|0|0|135115|135282|129910
Goodrich Roofing|856008844|goodrich roofing|25|0|0|19|19|51000|0|0|39520|39520
Goods Construction Co LLC|541969224|goods|0|71|0|80|90|0|155064|0|166400|187200
Gordon Contractors Inc.|412043935|gordon|108|94|84|79|76|210457|177003|166370|150612|143752
Gordon North Roofing Company|383182113|gordon north roofing|35|43|12|20|0|55845|59309|17104|25202|0
Gorman Roofing||gorman roofing|0|0|0|0|216|0|0|0|0|473391
GP Martini Roofing Co.|271634835|gp martini roofing|15|14|12|12|0|22830|14998|23758|23520|0
Grace Roofing & Sheet Metal Enterprise|263981778|grace roofing & sheet metal enterprise|0|30|30|40|45|0|59239|5472275|54987|61410
Graham Prewett, Inc.|770565773|graham prewett|0|82|78|79|80|0|145409|137794|157581|160736
Graham Roofing Incorporated|640512412|graham roofing|48|39|42|37|38|101716|79425|82477|76071|70513
Granite City Roofing, Inc.|411266940|granite city roofing|24|27|25|33|28|50058|52211|34818|55568|39118
GRAYHAWK ROOFING SOLUTIONS, INC.|814831853|grayhawk roofing|0|0|0|0|19|0|0|0|0|18375
Graziano Custom Roofing Inc|203964852|graziano custom roofing|0|0|0|0|22|0|0|0|0|39660
Graziano Roofing Inc|954514926|graziano roofing|0|0|0|0|10|0|0|0|0|13746
Great Lakes Roofing Corporation|391583074|great lakes roofing|21|22|43|84|0|37878|41718|80251|158909|0
Great Lakes Systems|381868212|great lakes|0|0|44|45|44|0|0|87056|71883|80822
Greenwood Industries|43165907|greenwood|0|0|0|252|0|0|0|0|503143|0
Greenwood-Industries|043165907|greenwood-industries|26|25|0|0|41|54600|52500|0|0|80454
Greg's Roofing Inc.|592117742|greg's roofing|19|20|22|22|22|35765|42273|39617|40615|38824
Greiner Buildings, Inc.|203161316|greiner buildings|0|50|42|0|0|0|81768|65584|0|0
GRIEME ROOFING COMPANY INC|561318986|grieme roofing|0|0|0|0|31|0|0|0|0|43397
Griffith Roofing Co.||griffith roofing|0|42|40|42|0|0|77912|69578|79668|0
